name,address
Morgenstern’s Finest Ice Cream,"88 W Houston St, New York, NY 10012, USA"
The Original Chinatown Ice Cream Factory,"65 Bayard St, New York, NY 10013, USA"
il laboratorio del gelato,"188 Ludlow St, New York, NY 10002, USA"
OddFellows Ice Cream Co.,"44 Water St, Brooklyn, NY 11201, USA"
Ample Hills Creamery,"623 Vanderbilt Ave, Brooklyn, NY 11238, USA"
Malai,"268 Smith St, Brooklyn, NY 11231, USA"
Taiyaki NYC Japanese Ice Cream,"119 Baxter St, New York, NY 10013, USA"
Eddie's Sweet Shop,"105-29 Metropolitan Ave, Forest Hills, NY 11375"
Sundaes and Cones,"95 E 10th St, New York, NY 10003, USA"
Sugar Hill Creamery,"184 Malcolm X Blvd, New York, NY 10026, USA"
Emack & Bolio's,"741 Fulton St, Brooklyn, NY 11217, USA"
Caffè Panna,"77 Irving Pl, New York, NY 10003, USA"
Van Leeuwen Ice Cream,"310 Greenwich St, New York, NY 10013, USA"
Soft Swerve - Kips Bay,"379 3rd Ave, New York, NY 10016, USA"
